name_norm,display_name,n_books,n_entries,source_types,books,pages
ابان بن ابي عياش,أبان بن أبي عياش,3,3,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tabaqat_ibnsad,lisan_mizan_ibnhajar:ج9/ص248 | tabaqat_ibnsad:ج9/ص253 | duafa_uqayli:ج1/ص38
صالح بن ابي الاخضر,صالح بن أبي الأخضر,3,3,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi; tabaqat_ibnsad,lisan_mizan_ibnhajar:ج9/ص324 | tabaqat_ibnsad:ج9/ص272
عثمان بن اسحاق,عثمان بن إسحاق,3,3,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,lisan_mizan_ibnhajar:ج9/ص368 | tarikh_kabir_bukhari:ج6/ص212 | tabaqat_ibnsad:ج7/ص239
علي بن بذيمه,علي بن بذيمة,3,3,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tabaqat_ibnsad,lisan_mizan_ibnhajar:ج9/ص374 | tabaqat_ibnsad:ج9/ص486 | duafa_uqayli:ج3/ص227
القاسم بن محمد,القاسم بن محمد,3,3,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,lisan_mizan_ibnhajar:ج9/ص394 | tabaqat_ibnsad:ج7/ص186
القاسم بن مهران,القاسم بن مهران,3,3,general; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tarikh_kabir_bukhari,lisan_mizan_ibnhajar:ج9/ص394 | duafa_uqayli:ج3/ص474
محمد بن عقبه,محمد بن عقبة,3,3,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,lisan_mizan_ibnhajar:ج9/ص412 | tabaqat_ibnsad:ج7/ص520
عمران بن مسلم,عمران بن مسلم,3,3,biography/ṭabaqāt; general; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad; tarikh_kabir_bukhari,duafa_uqayli:ج3/ص304
يزيد بن ابان الرقاشي,يزيد بن أبان الرقاشي,3,3,biography/ṭabaqāt; general; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad; tarikh_kabir_bukhari,
ابراهيم بن اسماعيل بن يحيي بن سلمه بن,إبراهيم بن إسماعيل بن يحيى بن سلمة بن,3,3,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi; mughni_duafa_dhahabi,
بحر بن مرار بن عبد الرحمن بن ابي,بحر بن مرار بن عبد الرحمن بن أبي,3,3,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi; mughni_duafa_dhahabi,
خالد بن يزيد بن عبد الرحمن بن ابي,خالد بن يزيد بن عبد الرحمن بن أبي,3,3,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi; mughni_duafa_dhahabi,
عامر بن صالح بن عبد الله بن عروه,عامر بن صالح بن عبد الله بن عروة,3,3,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi; mughni_duafa_dhahabi,
عبد الله بن الحسين بن عطا بن يسار,عبد الله بن الحسين بن عطاء بن يسار,3,3,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi; mughni_duafa_dhahabi,
عبد المجيد بن عبد العزيز بن ابي رواد,عبد المجيد بن عبد العزيز بن أبي رواد,3,3,general (six-books); jarḥ (ḍuʿafāʾ); marāsīl/connection,duafa_ibnjawzi; jami_tahsil_alai; kashif_dhahabi,jami_tahsil_alai:ج1/ص107
